customer_id,age_group,city,occupation,gender,marital status,avg_monthly_income,Total_income,Total_Spending,avg_monthly_spending,O_Income_Utiliz,credit_card_monthly_avgspend,Credit_Card_IU%,avg_spending_apparel,avg_spending_bills,avg_spending_electronics,avg_spending_entertainment,avg_spending_food,avg_spending_groceries,avg_spending_health_wellness,avg_spending_others,avg_spending_travel
ATQCUS0001,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,441138,77469,12911.5,0.175611713,2608.383838,0.035477114,112.35,79.8,200.95,132.6,95.9,124.95,60.25,26.55,67.7
ATQCUS0002,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,239532,64498,10749.67,0.26926682,2388.815556,0.059837071,124.95,45.75,105.65,284.6,242.25,102.6,113.1,51.2,0
ATQCUS0003,25-34,Chennai,Salaried Other Employees,Male,Married,37702,226212,74523,12420.5,0.329438757,2577.839623,0.068374082,205,0,67.5455,111.9091,126.8636,109.3182,94.1818,55.8182,49.8636
ATQCUS0004,25-34,Delhi NCR,Government Employees,Male,Married,54090,324540,80089,13348.17,0.246777038,3436.162574,0.063526762,174.2308,92.6923,180.4231,344.0385,75.6538,76.2308,59.3077,15.1538,63.3462
ATQCUS0005,21-24,Bengaluru,Freelancers,Male,Single,28376,170256,72266,12044.33,0.424454821,2978.705269,0.104972698,161.8261,44.3043,239.8261,191.7826,159.5652,56.6957,50.9565,30.1304,49.6957
ATQCUS0006,21-24,Delhi NCR,Salaried IT Employees,Male,Single,46586,279516,94958,15826.33,0.339722878,3447.319406,0.073999043,273,95.2727,286.4091,357.8182,41.7273,91.8182,114.5455,0,24.4545
ATQCUS0007,25-34,Chennai,Freelancers,Male,Single,34966,209796,94007,15667.83,0.448087571,4896.196875,0.140027366,102.0857,90.6,258.6286,426.8571,113.7429,40.0571,28.6571,28.1714,51.6
ATQCUS0008,25-34,Chennai,Salaried IT Employees,Male,Married,59078,354468,65415,10902.5,0.184544162,3234.807692,0.054754861,46.8519,74.1852,361.7778,280.3704,108.4815,83.8889,33.2963,36.1852,48.2222
ATQCUS0009,21-24,Bengaluru,Salaried Other Employees,Female,Single,30424,182544,61588,10264.67,0.33738726,1620.737368,0.053271673,136,38.6667,313.2667,0,158.2,40.3333,95.5333,65.7333,31.4
ATQCUS0010,35-45,Delhi NCR,Salaried IT Employees,Female,Married,67450,404700,77374,12895.67,0.191188584,3089.587604,0.045805598,97.7391,96.8696,124.7391,419.4783,191.2174,91.6087,76.913,26.3478,26.7826
ATQCUS0011,45+,Mumbai,Government Employees,Female,Married,62542,375252,74398,12399.67,0.198261488,4133.223333,0.066087163,136.4242,68.6061,55.2424,227.4545,122.4848,108.1818,79.2121,35.8182,69.3636
ATQCUS0012,25-34,Chennai,Salaried IT Employees,Female,Married,62738,376428,75458,12576.33,0.200457936,3205.731176,0.051097121,118.5385,37.0385,236.5385,188.1538,131.6154,106.5769,80.7692,23.8077,72
ATQCUS0013,35-45,Delhi NCR,Business Owners,Male,Married,72301,433806,77466,12911,0.17857291,3103.605769,0.04292618,138.88,86.28,164.44,174.16,103.2,69.84,44.76,29.04,87.4
ATQCUS0014,35-45,Chennai,Business Owners,Female,Married,74783,448698,39451,6575.17,0.087923325,1740.486176,0.023273821,66.4815,39.8519,70.4074,189.2593,54.037,51.3704,36.7778,9.5926,46.037
ATQCUS0015,45+,Delhi NCR,Salaried IT Employees,Female,Married,73754,442524,44655,7442.5,0.100909781,2115.236842,0.028679622,126.5926,25.6667,108.0741,231.2222,89.1852,38.037,23.5185,22.3704,23.7778
ATQCUS0016,25-34,Chennai,Government Employees,Female,Married,54575,327450,46811,7801.83,0.142956115,2041.600374,0.037409077,102.6429,16,78.6429,213.1786,35.7857,49.3571,34.2857,29.25,18.0357
ATQCUS0017,25-34,Delhi NCR,Salaried IT Employees,Female,Single,60269,361614,41489,6914.83,0.114732781,1812.62534,0.030075583,70.8519,45.1852,166.8148,69.4815,97.0741,24.7037,33.4074,9.3704,62.6667
ATQCUS0018,45+,Mumbai,Salaried Other Employees,Male,Married,41845,251070,46317,7719.5,0.184478432,2205.571429,0.052708124,64.5,26.0938,123.125,161.625,78.1875,35.6875,26.9688,18.0938,48.625
ATQCUS0019,25-34,Chennai,Freelancers,Male,Married,33831,202986,35019,5836.5,0.172519287,1332.244565,0.039379402,36.6667,45.2857,98.3333,243.7143,70.4286,12.8571,38.5238,12.5238,34.7619
